Frame count, Pixels in mask, Frame time (delta time), Fillrate (px/ms)
2810, 556, 8.2847, 67.11166
2820, 556, 7.5816, 73.33544
2830, 556, 8.279, 67.15787
2840, 556, 7.3322, 75.8299
2850, 556, 8.530399, 65.17866
2860, 556, 7.9774, 69.69689
2870, 556, 8.2338, 67.52654
2880, 556, 8.2333, 67.53064
2890, 556, 7.996, 69.53477
2900, 556, 8.2328, 67.53474
2910, 556, 8.815101, 63.07359
2920, 556, 11.3835, 48.84262
2930, 556, 8.5966, 64.67673
2940, 556, 8.9479, 62.13749
2950, 556, 8.949699, 62.12499
2960, 556, 9.116301, 60.98965
2970, 556, 8.231899, 67.54213
2980, 556, 8.0142, 69.37685
2990, 556, 8.356, 66.53902
3000, 556, 8.2335, 67.529
3010, 556, 8.2342, 67.52325
3020, 556, 8.2366, 67.50359
3030, 556, 8.2339, 67.52572
3040, 556, 8.171499, 68.04137
3050, 556, 8.9737, 61.95884
3060, 556, 8.8054, 63.14307
3070, 556, 8.2879, 67.08575
3080, 556, 8.9555, 62.08475
3090, 556, 8.004499, 69.46093
3100, 556, 8.2353, 67.51424
3110, 556, 8.8949, 62.50773
3120, 556, 8.0897, 68.72938
3130, 556, 8.8208, 63.03283
3140, 556, 8.229799, 67.55936
3150, 556, 8.8093, 63.11511
3160, 556, 7.8148, 71.14705
3170, 556, 11.7123, 47.47147
3180, 556, 8.2337, 67.52736
3190, 556, 8.6157, 64.53336
3200, 556, 7.9439, 69.99081
3210, 556, 7.3395, 75.75448
3220, 556, 8.0258, 69.27659
3230, 556, 11.5133, 48.29198
3240, 556, 8.9281, 62.27529
3250, 556, 8.0618, 68.96723
3260, 556, 7.9904, 69.5835
3270, 556, 8.3075, 66.92747
3280, 556, 7.9401, 70.02431
3290, 556, 8.233601, 67.52818
